timestamp,phys_pos_x,phys_pos_y,virt_pos_x,virt_pos_y,phys_heading,virt_heading,apply_rota,rota_gain,apply_trans,trans_gain,apply_curve,curve_gain,curve_dir,nav_state,collision
0.0000000000,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,3.1436061859,1.7462987900,false,1.0000000000,false,1.0000000000,false,0.0000000000,1,OK,0
0.0000000000,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,3.0650675297,1.6677589417,false,1.0000000000,false,1.0000000000,false,0.0000000000,1,OK,0
0.0500000007,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.9841718674,1.5892190933,true,1.0299999714,false,1.0000000000,false,0.0000000000,1,OK,0
0.1000000015,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.9032754898,1.5106792450,true,1.0299999714,false,1.0000000000,false,0.0000000000,1,OK,0
0.1500000060,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.8223791122,1.4321393967,true,1.0299999714,false,1.0000000000,false,0.0000000000,1,OK,0
0.2000000030,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.7414834499,1.3535995483,true,1.0299999714,false,1.0000000000,false,0.0000000000,1,OK,0
0.2500000000,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.6605877876,1.2750597000,true,1.0299999714,false,1.0000000000,false,0.0000000000,1,OK,0
0.3000000119,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.5852880478,1.1965198517,true,0.9587500095,false,1.0000000000,false,0.0000000000,1,OK,0
0.3500000238,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.5099875927,1.1179800034,true,0.9587500095,false,1.0000000000,false,0.0000000000,1,OK,0
0.4000000358,0.0000000000,0.0000000000,-3.3611559868,-3.9565720558,2.4418182373,1.0468778610,true,0.9587500095,false,1.0000000000,false,0.0000000000,1,OK,0
0.4500000477,-0.0330783650,0.0274740383,-3.3361420631,-3.9132788181,2.4484848976,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.5000000596,-0.0663390756,0.0547268763,-3.3111283779,-3.8699855804,2.4551515579,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.5500000715,-0.0997809470,0.0817575529,-3.2861144543,-3.8266921043,2.4618182182,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.6000000834,-0.1334021389,0.1085645705,-3.2611005306,-3.7833988667,2.4684848785,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.6500000954,-0.1672012210,0.1351467967,-3.2360868454,-3.7401056290,2.4751515388,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.7000001073,-0.2011768371,0.1615031660,-3.2110729218,-3.6968123913,2.4818181992,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.7500001192,-0.2353274077,0.1876324415,-3.1860589981,-3.6535191536,2.4884848595,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.8000001311,-0.2696513236,0.2135334015,-3.1610453129,-3.6102259159,2.4951515198,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
0.8500001431,-0.3041472435,0.2392050326,-3.1360313892,-3.5669326782,2.5018181801,1.0468778610,false,1.0000000000,true,0.8600000143,true,7.6394371986,1,OK,0
