-9.75,-6.65
-2.85,-6.65
-2.85,-5.95
1.65,-5.95
1.65,-4.9
10.69400,-4.9
10.69400,-1.48700
14.17300,-1.48700
14.17300,2.99200
10.69000,2.99200
10.69000,5.07300
10.69000,5.48900
-3.30900,5.48900
-3.30900,0.18300
-2.90700,0.18300
-2.90700,1.36000
0.46100,1.36000
0.46100,0.24600
0.73800,0.24600
0.73800,1.51600
-2.89200,1.51600
-2.89200,5.07800
1.61100,5.07800
1.61100,1.37100
2.00000,1.37100
2.00000,1.81100
3.06600,1.81100
3.06600,5.26900
4.42700,5.26900
4.42700,0.24700
4.72700,0.24700
4.72700,5.07300
10.27600,5.06600
10.27600,2.51500
13.96500,2.51500
13.96500,-1.08200
9.64100,-1.08200
9.64100,-1.25400
10.27500,-1.25400
10.27500,-4.60500
5.56800,-4.60500
5.56800,-2.87000
4.47200,-2.87000
4.47200,-3.08700
5.41400,-3.08700
5.41400,-4.61100
3.01900,-4.61100
3.01900,-3.08700
3.71400,-3.08700
3.71400,-2.87000
2.89500,-2.87000
2.89500,-4.60900
1.66700,-4.60900
1.66700,-2.16000
3.01700,-2.16000
3.01700,-1.69400
0.73800,-1.69400
0.73800,-1.00600
0.46100,-1.00600
0.46100,-1.69300
-0.77200,-1.69300
-0.77200,-1.92800
1.35000,-1.92800
1.35000,-5.69000
-0.77200,-5.69000
-0.77200,-2.86300
-1.07600,-2.86300
-1.07600,-5.69700
-2.92700,-5.69700
-2.92700,-3.11500
-1.83300,-3.11500
-1.83300,-2.90200
-3.13900,-2.90200
-3.13900,-6.30300
-9.41400,-6.30300
-9.41400,-1.93000
-3.13900,-1.93000
-3.13900,-2.15300
-2.90270,-2.15300
-2.90270,-1.93200
-1.74800,-1.93200
-1.74800,-1.69600
-2.90700,-1.69600
-2.90700,-0.67500
-3.30900,-0.67500
-3.30900,-1.42200
-9.75,-1.42200
//
-5.98400,2.67100
-5.98400,0.94200
-5.37000,0.94200
-5.37000,2.66600
